"FileName="BV_XXXX_20201014_0500
"FileDate="20201018
"FileTime="05:00
"FileExpiration="20201015 05:00
"FileSequence=871"
"DataDelimiter= ,"

DATE_AND_TIME,EVENT_NAME,EVENT_DESCRIPTION,FLAGS
2020-10-18 12:11:13,4bbb70d0-420a-4f4c-937a-6a852eb704b4,C2A,"FULV, ILQD"
2020-10-18 12:21:23,b1c4a254-22da-497f-b400-020f4d239362,C2G,"FULV, ILQD"
2020-10-18 12:12:11,b8623e37-28ac-4b5e-bb70-e96f4d12e3a0,C2B,"FULV, ILQD"
2020-10-18 12:13:16,51d7ce2e-9a21-4588-b50b-31ff81bc11f3,C2C,"FULV, ILQD"
2020-10-18 12:14:19,b065ddbd-0c79-4aef-a696-9d716b794f47,C2D,"FULV, ILQD"
2020-10-18 12:27:57,5eeebd4c-3646-488d-9ed8-dc91c0ccbb60,C2E,"FULV, ILQD"
2020-10-18 12:28:03,b6635613-7fe1-44fb-aa4a-67ce77029db3,C2F,"FULV, ILQD"
2020-10-18 12:31:34,cafc8b4d-0878-4b3f-9211-3d7daed60fd1,C2H,"FULV, ILQD"
2020-10-18 12:23:42,b1c4a254-22da-497f-b400-020f4d239362,C2G,"AMND, ILQD"
2020-10-18 12:29:12,a34071b6-827b-4e82-a148-c4fe645711bc,C2I,"FULV, ILQD"
2020-10-18 12:17:67,f9156040-c692-463a-ba66-f557985b5673,C2J,"FULV, ILQD"


"Terms and Conditions"

"I solemly swear I am up to no good"
